TREAT;LENGTH;NO_R;REPLICATE;PATCH;WEEK;AFEMA
16_NO_1;16;NO;1;3.1;4;9
16_NO_1;16;NO;1;3.2;4;25
16_NO_1;16;NO;1;3.3;4;26
16_NO_2;16;NO;2;1.1;4;14
16_NO_2;16;NO;2;1.2;4;15
16_NO_2;16;NO;2;1.3;4;52
16_NO_2;16;NO;2;2.1;4;8
16_NO_2;16;NO;2;2.2;4;2
16_NO_2;16;NO;2;2.3;4;39
16_NO_2;16;NO;2;3.1;4;42
16_NO_2;16;NO;2;3.2;4;24
16_NO_2;16;NO;2;3.3;4;48
16_NO_3;16;NO;3;1.1;4;14
16_NO_3;16;NO;3;1.2;4;3
16_NO_3;16;NO;3;1.3;4;16
16_NO_3;16;NO;3;2.1;4;43
16_NO_3;16;NO;3;2.2;4;1
16_NO_3;16;NO;3;2.3;4;10
16_NO_3;16;NO;3;3.1;4;19
16_NO_3;16;NO;3;3.2;4;46
16_NO_3;16;NO;3;3.3;4;25
16_NO_4;16;NO;4;1.1;4;51
16_NO_4;16;NO;4;1.2;4;159
16_NO_4;16;NO;4;1.3;4;1
16_NO_4;16;NO;4;2.1;4;3
16_NO_4;16;NO;4;2.2;4;7
16_NO_4;16;NO;4;2.3;4;11
16_NO_4;16;NO;4;3.1;4;5
16_NO_4;16;NO;4;3.2;4;3
16_NO_4;16;NO;4;3.3;4;39
16_NO_5;16;NO;5;1.1;4;12
16_NO_5;16;NO;5;1.2;4;12
16_NO_5;16;NO;5;1.3;4;28
16_NO_5;16;NO;5;2.1;4;3
16_NO_5;16;NO;5;2.2;4;3
16_NO_5;16;NO;5;2.3;4;0
16_NO_5;16;NO;5;3.1;4;27
16_NO_5;16;NO;5;3.2;4;0
16_NO_5;16;NO;5;3.3;4;50
16_R_1;16;R;1;1.1;4;23
16_R_1;16;R;1;1.2;4;9
16_R_1;16;R;1;1.3;4;53
16_R_1;16;R;1;2.1;4;5
16_R_1;16;R;1;2.2;4;5
16_R_1;16;R;1;2.3;4;48
16_R_1;16;R;1;3.1;4;19
16_R_1;16;R;1;3.2;4;33
16_R_1;16;R;1;3.3;4;20
16_R_2;16;R;2;1.1;4;15
16_R_2;16;R;2;1.2;4;17
16_R_2;16;R;2;1.3;4;15
16_R_2;16;R;2;2.1;4;27
16_R_2;16;R;2;2.2;4;15
16_R_2;16;R;2;2.3;4;26
16_R_2;16;R;2;3.1;4;23
16_R_2;16;R;2;3.2;4;74
16_R_2;16;R;2;3.3;4;25
16_R_3;16;R;3;1.1;4;85
16_R_3;16;R;3;1.2;4;57
16_R_3;16;R;3;1.3;4;43
16_R_3;16;R;3;2.1;4;60
16_R_3;16;R;3;2.2;4;87
16_R_3;16;R;3;2.3;4;30
16_R_3;16;R;3;3.1;4;12
16_R_3;16;R;3;3.2;4;53
16_R_3;16;R;3;3.3;4;47
4_NO_1;4;NO;1;1.1;4;6
4_NO_1;4;NO;1;1.2;4;19
4_NO_1;4;NO;1;1.3;4;11
4_NO_1;4;NO;1;2.1;4;15
4_NO_1;4;NO;1;2.2;4;28
4_NO_1;4;NO;1;2.3;4;15
4_NO_1;4;NO;1;3.1;4;30
4_NO_1;4;NO;1;3.2;4;19
4_NO_1;4;NO;1;3.3;4;57
4_NO_2;4;NO;2;1.1;4;16
4_NO_2;4;NO;2;1.2;4;25
4_NO_2;4;NO;2;1.3;4;46
4_NO_2;4;NO;2;2.1;4;19
4_NO_2;4;NO;2;2.2;4;11
4_NO_2;4;NO;2;2.3;4;19
4_NO_2;4;NO;2;3.1;4;4
4_NO_2;4;NO;2;3.2;4;21
4_NO_2;4;NO;2;3.3;4;48
4_NO_3;4;NO;3;1.1;4;16
4_NO_3;4;NO;3;1.2;4;18
4_NO_3;4;NO;3;1.3;4;37
4_NO_3;4;NO;3;2.1;4;20
4_NO_3;4;NO;3;2.2;4;10
4_NO_3;4;NO;3;2.3;4;10
4_NO_3;4;NO;3;3.1;4;35
4_NO_3;4;NO;3;3.2;4;5
4_NO_3;4;NO;3;3.3;4;6
4_NO_4;4;NO;4;1.1;4;48
4_NO_4;4;NO;4;1.2;4;5
4_NO_4;4;NO;4;1.3;4;2
4_NO_4;4;NO;4;2.1;4;18
4_NO_4;4;NO;4;2.2;4;9
4_NO_4;4;NO;4;2.3;4;4
4_NO_4;4;NO;4;3.1;4;25
4_NO_4;4;NO;4;3.2;4;21
4_NO_4;4;NO;4;3.3;4;NA
4_NO_5;4;NO;5;1.1;4;3
4_NO_5;4;NO;5;1.2;4;0
4_NO_5;4;NO;5;1.3;4;17
4_NO_5;4;NO;5;2.1;4;16
4_NO_5;4;NO;5;2.2;4;0
4_NO_5;4;NO;5;2.3;4;23
4_NO_5;4;NO;5;3.1;4;4
4_NO_5;4;NO;5;3.2;4;11
4_NO_5;4;NO;5;3.3;4;NA
4_R_1;4;R;1;1.1;4;5
4_R_1;4;R;1;1.2;4;3
4_R_1;4;R;1;1.3;4;2
4_R_1;4;R;1;2.1;4;8
4_R_1;4;R;1;2.2;4;5
4_R_1;4;R;1;2.3;4;9
4_R_1;4;R;1;3.1;4;10
4_R_1;4;R;1;3.2;4;5
4_R_1;4;R;1;3.3;4;4
4_R_2;4;R;2;1.1;4;26
4_R_2;4;R;2;1.2;4;53
4_R_2;4;R;2;1.3;4;67
4_R_2;4;R;2;2.1;4;25
4_R_2;4;R;2;2.2;4;62
4_R_2;4;R;2;2.3;4;44
4_R_2;4;R;2;3.1;4;47
4_R_2;4;R;2;3.2;4;40
4_R_2;4;R;2;3.3;4;38
4_R_3;4;R;3;1.1;4;11
4_R_3;4;R;3;1.2;4;12
4_R_3;4;R;3;1.3;4;9
4_R_3;4;R;3;2.1;4;3
4_R_3;4;R;3;2.2;4;18
4_R_3;4;R;3;2.3;4;13
4_R_3;4;R;3;3.1;4;15
4_R_3;4;R;3;3.2;4;4
4_R_3;4;R;3;3.3;4;1
8_NO_1;8;NO;1;1.1;4;14
8_NO_1;8;NO;1;1.2;4;16
8_NO_1;8;NO;1;1.3;4;28
8_NO_1;8;NO;1;2.1;4;3
8_NO_1;8;NO;1;2.2;4;22
8_NO_1;8;NO;1;2.3;4;9
8_NO_1;8;NO;1;3.1;4;7
8_NO_1;8;NO;1;3.2;4;7
8_NO_1;8;NO;1;3.3;4;8
8_NO_2;8;NO;2;1.1;4;14
8_NO_2;8;NO;2;1.2;4;18
8_NO_2;8;NO;2;1.3;4;47
8_NO_2;8;NO;2;2.1;4;1
8_NO_2;8;NO;2;2.2;4;4
8_NO_2;8;NO;2;2.3;4;22
8_NO_2;8;NO;2;3.1;4;19
8_NO_2;8;NO;2;3.2;4;18
8_NO_2;8;NO;2;3.3;4;72
8_NO_3;8;NO;3;1.1;4;8
8_NO_3;8;NO;3;1.2;4;9
8_NO_3;8;NO;3;1.3;4;16
8_NO_3;8;NO;3;2.1;4;19
8_NO_3;8;NO;3;2.2;4;4
8_NO_3;8;NO;3;2.3;4;15
8_NO_3;8;NO;3;3.1;4;16
8_NO_3;8;NO;3;3.2;4;15
8_NO_3;8;NO;3;3.3;4;5
8_NO_4;8;NO;4;1.1;4;25
8_NO_4;8;NO;4;1.2;4;13
8_NO_4;8;NO;4;1.3;4;37
8_NO_4;8;NO;4;2.1;4;16
8_NO_4;8;NO;4;2.2;4;1
8_NO_4;8;NO;4;2.3;4;12
8_NO_4;8;NO;4;3.1;4;21
8_NO_4;8;NO;4;3.2;4;7
8_NO_4;8;NO;4;3.3;4;10
8_NO_5;8;NO;5;1.1;4;21
8_NO_5;8;NO;5;1.2;4;19
8_NO_5;8;NO;5;1.3;4;10
8_NO_5;8;NO;5;2.1;4;39
8_NO_5;8;NO;5;2.2;4;39
8_NO_5;8;NO;5;2.3;4;34
8_NO_5;8;NO;5;3.1;4;9
8_NO_5;8;NO;5;3.2;4;22
8_NO_5;8;NO;5;3.3;4;30
8_R_1;8;R;1;1.1;4;13
8_R_1;8;R;1;1.2;4;12
8_R_1;8;R;1;1.3;4;27
8_R_1;8;R;1;2.1;4;17
8_R_1;8;R;1;2.2;4;16
8_R_1;8;R;1;2.3;4;5
8_R_1;8;R;1;3.1;4;2
8_R_1;8;R;1;3.2;4;9
8_R_1;8;R;1;3.3;4;21
8_R_2;8;R;2;1.1;4;75
8_R_2;8;R;2;1.2;4;31
8_R_2;8;R;2;1.3;4;26
8_R_2;8;R;2;2.1;4;37
8_R_2;8;R;2;2.2;4;24
8_R_2;8;R;2;2.3;4;16
8_R_2;8;R;2;3.1;4;39
8_R_2;8;R;2;3.2;4;28
8_R_2;8;R;2;3.3;4;15
8_R_3;8;R;3;1.1;4;84
8_R_3;8;R;3;1.2;4;114
8_R_3;8;R;3;1.3;4;59
8_R_3;8;R;3;2.1;4;69
8_R_3;8;R;3;2.2;4;12
8_R_3;8;R;3;2.3;4;19
8_R_3;8;R;3;3.1;4;44
8_R_3;8;R;3;3.2;4;74
8_R_3;8;R;3;3.3;4;26
16_NO_1;16;NO;1;1.1;5;23
16_NO_1;16;NO;1;1.2;5;0
16_NO_1;16;NO;1;1.3;5;6
16_NO_1;16;NO;1;2.1;5;24
16_NO_1;16;NO;1;2.2;5;3
16_NO_1;16;NO;1;2.3;5;0
16_NO_1;16;NO;1;3.1;5;10
16_NO_1;16;NO;1;3.2;5;4
16_NO_1;16;NO;1;3.3;5;11
16_NO_2;16;NO;2;1.1;5;11
16_NO_2;16;NO;2;1.2;5;20
16_NO_2;16;NO;2;1.3;5;25
16_NO_2;16;NO;2;2.1;5;22
16_NO_2;16;NO;2;2.2;5;16
16_NO_2;16;NO;2;2.3;5;7
16_NO_2;16;NO;2;3.1;5;11
16_NO_2;16;NO;2;3.2;5;23
16_NO_2;16;NO;2;3.3;5;35
16_NO_3;16;NO;3;1.1;5;23
16_NO_3;16;NO;3;1.2;5;12
16_NO_3;16;NO;3;1.3;5;41
16_NO_3;16;NO;3;2.1;5;29
16_NO_3;16;NO;3;2.2;5;91
16_NO_3;16;NO;3;2.3;5;72
16_NO_3;16;NO;3;3.1;5;36
16_NO_3;16;NO;3;3.2;5;13
16_NO_3;16;NO;3;3.3;5;21
16_NO_4;16;NO;4;1.1;5;28
16_NO_4;16;NO;4;1.2;5;10
16_NO_4;16;NO;4;1.3;5;25
16_NO_4;16;NO;4;2.1;5;24
16_NO_4;16;NO;4;2.2;5;3
16_NO_4;16;NO;4;2.3;5;2
16_NO_4;16;NO;4;3.1;5;29
16_NO_4;16;NO;4;3.2;5;22
16_NO_4;16;NO;4;3.3;5;20
16_NO_5;16;NO;5;1.1;5;9
16_NO_5;16;NO;5;1.2;5;0
16_NO_5;16;NO;5;1.3;5;7
16_NO_5;16;NO;5;2.1;5;8
16_NO_5;16;NO;5;2.2;5;4
16_NO_5;16;NO;5;2.3;5;11
16_NO_5;16;NO;5;3.1;5;0
16_NO_5;16;NO;5;3.2;5;70
16_NO_5;16;NO;5;3.3;5;28
16_R_1;16;R;1;1.1;5;38
16_R_1;16;R;1;1.2;5;16
16_R_1;16;R;1;1.3;5;9
16_R_1;16;R;1;2.1;5;4
16_R_1;16;R;1;2.2;5;0
16_R_1;16;R;1;2.3;5;14
16_R_1;16;R;1;3.1;5;18
16_R_1;16;R;1;3.2;5;0
16_R_1;16;R;1;3.3;5;46
16_R_2;16;R;2;1.1;5;15
16_R_2;16;R;2;1.2;5;17
16_R_2;16;R;2;1.3;5;16
16_R_2;16;R;2;2.1;5;28
16_R_2;16;R;2;2.2;5;19
16_R_2;16;R;2;2.3;5;5
16_R_2;16;R;2;3.1;5;24
16_R_2;16;R;2;3.2;5;2
16_R_2;16;R;2;3.3;5;23
16_R_3;16;R;3;1.1;5;23
16_R_3;16;R;3;1.2;5;31
16_R_3;16;R;3;1.3;5;22
16_R_3;16;R;3;2.1;5;26
16_R_3;16;R;3;2.2;5;17
16_R_3;16;R;3;2.3;5;23
16_R_3;16;R;3;3.1;5;33
16_R_3;16;R;3;3.2;5;43
16_R_3;16;R;3;3.3;5;12
4_NO_1;4;NO;1;1.1;5;112
4_NO_1;4;NO;1;1.2;5;9
4_NO_1;4;NO;1;1.3;5;24
4_NO_1;4;NO;1;2.1;5;17
4_NO_1;4;NO;1;2.2;5;29
4_NO_1;4;NO;1;2.3;5;50
4_NO_1;4;NO;1;3.1;5;11
4_NO_1;4;NO;1;3.2;5;15
4_NO_1;4;NO;1;3.3;5;4
4_NO_2;4;NO;2;1.1;5;37
4_NO_2;4;NO;2;1.2;5;36
4_NO_2;4;NO;2;1.3;5;32
4_NO_2;4;NO;2;2.1;5;25
4_NO_2;4;NO;2;2.2;5;2
4_NO_2;4;NO;2;2.3;5;21
4_NO_2;4;NO;2;3.1;5;35
4_NO_2;4;NO;2;3.2;5;19
4_NO_2;4;NO;2;3.3;5;13
4_NO_3;4;NO;3;1.1;5;74
4_NO_3;4;NO;3;1.2;5;27
4_NO_3;4;NO;3;1.3;5;97
4_NO_3;4;NO;3;2.1;5;34
4_NO_3;4;NO;3;2.2;5;63
4_NO_3;4;NO;3;2.3;5;83
4_NO_3;4;NO;3;3.1;5;104
4_NO_3;4;NO;3;3.2;5;115
4_NO_3;4;NO;3;3.3;5;224
4_NO_4;4;NO;4;1.1;5;15
4_NO_4;4;NO;4;1.2;5;12
4_NO_4;4;NO;4;1.3;5;8
4_NO_4;4;NO;4;2.1;5;51
4_NO_4;4;NO;4;2.2;5;93
4_NO_4;4;NO;4;2.3;5;36
4_NO_4;4;NO;4;3.1;5;18
4_NO_4;4;NO;4;3.2;5;31
4_NO_4;4;NO;4;3.3;5;60
4_NO_5;4;NO;5;1.1;5;98
4_NO_5;4;NO;5;1.2;5;4
4_NO_5;4;NO;5;1.3;5;2
4_NO_5;4;NO;5;2.1;5;18
4_NO_5;4;NO;5;2.2;5;0
4_NO_5;4;NO;5;2.3;5;5
4_NO_5;4;NO;5;3.1;5;28
4_NO_5;4;NO;5;3.2;5;21
4_NO_5;4;NO;5;3.3;5;2
4_R_1;4;R;1;1.1;5;13
4_R_1;4;R;1;1.2;5;13
4_R_1;4;R;1;1.3;5;12
4_R_1;4;R;1;2.1;5;45
4_R_1;4;R;1;2.2;5;11
4_R_1;4;R;1;2.3;5;11
4_R_1;4;R;1;3.1;5;15
4_R_1;4;R;1;3.2;5;3
4_R_1;4;R;1;3.3;5;11
4_R_2;4;R;2;1.1;5;22
4_R_2;4;R;2;1.2;5;9
4_R_2;4;R;2;1.3;5;30
4_R_2;4;R;2;2.1;5;45
4_R_2;4;R;2;2.2;5;71
4_R_2;4;R;2;2.3;5;31
4_R_2;4;R;2;3.1;5;16
4_R_2;4;R;2;3.2;5;9
4_R_2;4;R;2;3.3;5;3
4_R_3;4;R;3;1.1;5;4
4_R_3;4;R;3;1.2;5;12
4_R_3;4;R;3;1.3;5;72
4_R_3;4;R;3;2.1;5;15
4_R_3;4;R;3;2.2;5;9
4_R_3;4;R;3;2.3;5;18
4_R_3;4;R;3;3.1;5;8
4_R_3;4;R;3;3.2;5;20
4_R_3;4;R;3;3.3;5;27
8_NO_1;8;NO;1;1.1;5;9
8_NO_1;8;NO;1;1.2;5;28
8_NO_1;8;NO;1;1.3;5;11
8_NO_1;8;NO;1;2.1;5;18
8_NO_1;8;NO;1;2.2;5;14
8_NO_1;8;NO;1;2.3;5;29
8_NO_1;8;NO;1;3.1;5;8
8_NO_1;8;NO;1;3.2;5;15
8_NO_1;8;NO;1;3.3;5;27
8_NO_2;8;NO;2;1.1;5;35
8_NO_2;8;NO;2;1.2;5;0
8_NO_2;8;NO;2;1.3;5;0
8_NO_2;8;NO;2;2.1;5;36
8_NO_2;8;NO;2;2.2;5;5
8_NO_2;8;NO;2;2.3;5;0
8_NO_2;8;NO;2;3.1;5;12
8_NO_2;8;NO;2;3.2;5;0
8_NO_2;8;NO;2;3.3;5;1
8_NO_3;8;NO;3;1.1;5;3
8_NO_3;8;NO;3;1.2;5;9
8_NO_3;8;NO;3;1.3;5;29
8_NO_3;8;NO;3;2.1;5;11
8_NO_3;8;NO;3;2.2;5;8
8_NO_3;8;NO;3;2.3;5;39
8_NO_3;8;NO;3;3.1;5;36
8_NO_3;8;NO;3;3.2;5;5
8_NO_3;8;NO;3;3.3;5;9
8_NO_4;8;NO;4;1.1;5;6
8_NO_4;8;NO;4;1.2;5;17
8_NO_4;8;NO;4;1.3;5;0
8_NO_4;8;NO;4;2.1;5;41
8_NO_4;8;NO;4;2.2;5;33
8_NO_4;8;NO;4;2.3;5;13
8_NO_4;8;NO;4;3.1;5;7
8_NO_4;8;NO;4;3.2;5;18
8_NO_4;8;NO;4;3.3;5;9
8_NO_5;8;NO;5;1.1;5;10
8_NO_5;8;NO;5;1.2;5;19
8_NO_5;8;NO;5;1.3;5;7
8_NO_5;8;NO;5;2.1;5;12
8_NO_5;8;NO;5;2.2;5;6
8_NO_5;8;NO;5;2.3;5;15
8_NO_5;8;NO;5;3.1;5;25
8_NO_5;8;NO;5;3.2;5;30
8_NO_5;8;NO;5;3.3;5;27
8_R_1;8;R;1;1.1;5;9
8_R_1;8;R;1;1.2;5;5
8_R_1;8;R;1;1.3;5;7
8_R_1;8;R;1;2.1;5;1
8_R_1;8;R;1;2.2;5;11
8_R_1;8;R;1;2.3;5;8
8_R_1;8;R;1;3.1;5;10
8_R_1;8;R;1;3.2;5;4
8_R_1;8;R;1;3.3;5;6
8_R_2;8;R;2;1.1;5;37
8_R_2;8;R;2;1.2;5;17
8_R_2;8;R;2;1.3;5;16
8_R_2;8;R;2;2.1;5;15
8_R_2;8;R;2;2.2;5;19
8_R_2;8;R;2;2.3;5;13
8_R_2;8;R;2;3.1;5;34
8_R_2;8;R;2;3.2;5;18
8_R_2;8;R;2;3.3;5;17
8_R_3;8;R;3;1.1;5;1
8_R_3;8;R;3;1.2;5;43
8_R_3;8;R;3;1.3;5;15
8_R_3;8;R;3;2.1;5;4
8_R_3;8;R;3;2.2;5;0
8_R_3;8;R;3;2.3;5;36
8_R_3;8;R;3;3.1;5;108
8_R_3;8;R;3;3.2;5;3
8_R_3;8;R;3;3.3;5;4
16_NO_1;16;NO;1;1.1;6;18
16_NO_1;16;NO;1;1.2;6;0
16_NO_1;16;NO;1;1.3;6;54
16_NO_1;16;NO;1;2.1;6;31
16_NO_1;16;NO;1;2.2;6;1
16_NO_1;16;NO;1;2.3;6;17
16_NO_1;16;NO;1;3.1;6;29
16_NO_1;16;NO;1;3.2;6;21
16_NO_1;16;NO;1;3.3;6;19
16_NO_2;16;NO;2;1.1;6;13
16_NO_2;16;NO;2;1.2;6;11
16_NO_2;16;NO;2;1.3;6;8
16_NO_2;16;NO;2;2.1;6;6
16_NO_2;16;NO;2;2.2;6;35
16_NO_2;16;NO;2;2.3;6;24
16_NO_2;16;NO;2;3.1;6;16
16_NO_2;16;NO;2;3.2;6;11
16_NO_2;16;NO;2;3.3;6;20
16_NO_3;16;NO;3;1.1;6;33
16_NO_3;16;NO;3;1.2;6;19
16_NO_3;16;NO;3;1.3;6;59
16_NO_3;16;NO;3;2.1;6;59
16_NO_3;16;NO;3;2.2;6;2
16_NO_3;16;NO;3;2.3;6;21
16_NO_3;16;NO;3;3.1;6;10
16_NO_3;16;NO;3;3.2;6;15
16_NO_3;16;NO;3;3.3;6;37
16_NO_4;16;NO;4;1.1;6;0
16_NO_4;16;NO;4;1.2;6;2
16_NO_4;16;NO;4;1.3;6;32
16_NO_4;16;NO;4;2.1;6;22
16_NO_4;16;NO;4;2.2;6;5
16_NO_4;16;NO;4;2.3;6;11
16_NO_4;16;NO;4;3.1;6;24
16_NO_4;16;NO;4;3.2;6;15
16_NO_4;16;NO;4;3.3;6;5
16_NO_5;16;NO;5;1.1;6;1
16_NO_5;16;NO;5;1.2;6;22
16_NO_5;16;NO;5;1.3;6;0
16_NO_5;16;NO;5;2.1;6;6
16_NO_5;16;NO;5;2.2;6;36
16_NO_5;16;NO;5;2.3;6;8
16_NO_5;16;NO;5;3.1;6;12
16_NO_5;16;NO;5;3.2;6;11
16_NO_5;16;NO;5;3.3;6;24
16_R_1;16;R;1;1.1;6;3
16_R_1;16;R;1;1.2;6;3
16_R_1;16;R;1;1.3;6;5
16_R_1;16;R;1;2.1;6;17
16_R_1;16;R;1;2.2;6;0
16_R_1;16;R;1;2.3;6;3
16_R_1;16;R;1;3.1;6;8
16_R_1;16;R;1;3.2;6;75
16_R_1;16;R;1;3.3;6;9
16_R_2;16;R;2;1.1;6;22
16_R_2;16;R;2;1.2;6;33
16_R_2;16;R;2;1.3;6;21
16_R_2;16;R;2;2.1;6;26
16_R_2;16;R;2;2.2;6;1
16_R_2;16;R;2;2.3;6;14
16_R_2;16;R;2;3.1;6;30
16_R_2;16;R;2;3.2;6;2
16_R_2;16;R;2;3.3;6;16
16_R_3;16;R;3;1.1;6;30
16_R_3;16;R;3;1.2;6;6
16_R_3;16;R;3;1.3;6;11
16_R_3;16;R;3;2.1;6;4
16_R_3;16;R;3;2.2;6;11
16_R_3;16;R;3;2.3;6;41
16_R_3;16;R;3;3.1;6;36
16_R_3;16;R;3;3.2;6;11
16_R_3;16;R;3;3.3;6;15
4_NO_1;4;NO;1;1.1;6;0
4_NO_1;4;NO;1;1.2;6;14
4_NO_1;4;NO;1;1.3;6;1
4_NO_1;4;NO;1;2.1;6;2
4_NO_1;4;NO;1;2.2;6;2
4_NO_1;4;NO;1;2.3;6;3
4_NO_1;4;NO;1;3.1;6;1
4_NO_1;4;NO;1;3.2;6;2
4_NO_1;4;NO;1;3.3;6;0
4_NO_2;4;NO;2;1.1;6;16
4_NO_2;4;NO;2;1.2;6;5
4_NO_2;4;NO;2;1.3;6;2
4_NO_2;4;NO;2;2.1;6;9
4_NO_2;4;NO;2;2.2;6;10
4_NO_2;4;NO;2;2.3;6;4
4_NO_2;4;NO;2;3.1;6;18
4_NO_2;4;NO;2;3.2;6;16
4_NO_2;4;NO;2;3.3;6;9
4_NO_3;4;NO;3;1.1;6;19
4_NO_3;4;NO;3;1.2;6;10
4_NO_3;4;NO;3;1.3;6;18
4_NO_3;4;NO;3;2.1;6;29
4_NO_3;4;NO;3;2.2;6;20
4_NO_3;4;NO;3;2.3;6;23
4_NO_3;4;NO;3;3.1;6;39
4_NO_3;4;NO;3;3.2;6;24
4_NO_3;4;NO;3;3.3;6;18
4_NO_4;4;NO;4;1.1;6;40
4_NO_4;4;NO;4;1.2;6;61
4_NO_4;4;NO;4;1.3;6;30
4_NO_4;4;NO;4;2.1;6;57
4_NO_4;4;NO;4;2.2;6;8
4_NO_4;4;NO;4;2.3;6;51
4_NO_4;4;NO;4;3.1;6;70
4_NO_4;4;NO;4;3.2;6;47
4_NO_4;4;NO;4;3.3;6;43
4_NO_5;4;NO;5;1.1;6;10
4_NO_5;4;NO;5;1.2;6;17
4_NO_5;4;NO;5;1.3;6;11
4_NO_5;4;NO;5;2.1;6;11
4_NO_5;4;NO;5;2.2;6;18
4_NO_5;4;NO;5;2.3;6;27
4_NO_5;4;NO;5;3.1;6;8
4_NO_5;4;NO;5;3.2;6;9
4_NO_5;4;NO;5;3.3;6;6
4_R_1;4;R;1;1.1;6;40
4_R_1;4;R;1;1.2;6;10
4_R_1;4;R;1;1.3;6;48
4_R_1;4;R;1;2.1;6;7
4_R_1;4;R;1;2.2;6;23
4_R_1;4;R;1;2.3;6;33
4_R_1;4;R;1;3.1;6;32
4_R_1;4;R;1;3.2;6;29
4_R_1;4;R;1;3.3;6;5
4_R_2;4;R;2;1.1;6;0
4_R_2;4;R;2;1.2;6;4
4_R_2;4;R;2;1.3;6;4
4_R_2;4;R;2;2.1;6;1
4_R_2;4;R;2;2.2;6;5
4_R_2;4;R;2;2.3;6;2
4_R_2;4;R;2;3.1;6;2
4_R_2;4;R;2;3.2;6;3
4_R_2;4;R;2;3.3;6;10
4_R_3;4;R;3;1.1;6;37
4_R_3;4;R;3;1.2;6;14
4_R_3;4;R;3;1.3;6;36
4_R_3;4;R;3;2.1;6;14
4_R_3;4;R;3;2.2;6;10
4_R_3;4;R;3;2.3;6;25
4_R_3;4;R;3;3.1;6;7
4_R_3;4;R;3;3.2;6;18
4_R_3;4;R;3;3.3;6;13
8_NO_1;8;NO;1;1.1;6;28
8_NO_1;8;NO;1;1.2;6;23
8_NO_1;8;NO;1;1.3;6;44
8_NO_1;8;NO;1;2.1;6;46
8_NO_1;8;NO;1;2.2;6;11
8_NO_1;8;NO;1;2.3;6;28
8_NO_1;8;NO;1;3.1;6;76
8_NO_1;8;NO;1;3.2;6;25
8_NO_1;8;NO;1;3.3;6;61
8_NO_2;8;NO;2;1.1;6;18
8_NO_2;8;NO;2;1.2;6;94
8_NO_2;8;NO;2;1.3;6;155
8_NO_2;8;NO;2;2.1;6;4
8_NO_2;8;NO;2;2.2;6;61
8_NO_2;8;NO;2;2.3;6;120
8_NO_2;8;NO;2;3.1;6;77
8_NO_2;8;NO;2;3.2;6;186
8_NO_2;8;NO;2;3.3;6;98
8_NO_3;8;NO;3;1.1;6;29
8_NO_3;8;NO;3;1.2;6;1
8_NO_3;8;NO;3;1.3;6;0
8_NO_3;8;NO;3;2.1;6;0
8_NO_3;8;NO;3;2.2;6;2
8_NO_3;8;NO;3;2.3;6;0
8_NO_3;8;NO;3;3.1;6;26
8_NO_3;8;NO;3;3.2;6;22
8_NO_3;8;NO;3;3.3;6;5
8_NO_4;8;NO;4;1.1;6;30
8_NO_4;8;NO;4;1.2;6;33
8_NO_4;8;NO;4;1.3;6;86
8_NO_4;8;NO;4;2.1;6;20
8_NO_4;8;NO;4;2.2;6;14
8_NO_4;8;NO;4;2.3;6;23
8_NO_4;8;NO;4;3.1;6;25
8_NO_4;8;NO;4;3.2;6;35
8_NO_4;8;NO;4;3.3;6;41
8_NO_5;8;NO;5;1.1;6;26
8_NO_5;8;NO;5;1.2;6;15
8_NO_5;8;NO;5;1.3;6;14
8_NO_5;8;NO;5;2.1;6;21
8_NO_5;8;NO;5;2.2;6;11
8_NO_5;8;NO;5;2.3;6;6
8_NO_5;8;NO;5;3.1;6;39
8_NO_5;8;NO;5;3.2;6;22
8_NO_5;8;NO;5;3.3;6;14
8_R_1;8;R;1;1.1;6;33
8_R_1;8;R;1;1.2;6;17
8_R_1;8;R;1;1.3;6;13
8_R_1;8;R;1;2.1;6;22
8_R_1;8;R;1;2.2;6;10
8_R_1;8;R;1;2.3;6;7
8_R_1;8;R;1;3.1;6;30
8_R_1;8;R;1;3.2;6;19
8_R_1;8;R;1;3.3;6;19
8_R_2;8;R;2;1.1;6;0
8_R_2;8;R;2;1.2;6;2
8_R_2;8;R;2;1.3;6;31
8_R_2;8;R;2;2.1;6;7
8_R_2;8;R;2;2.2;6;10
8_R_2;8;R;2;2.3;6;7
8_R_2;8;R;2;3.1;6;40
8_R_2;8;R;2;3.2;6;19
8_R_2;8;R;2;3.3;6;22
8_R_3;8;R;3;1.1;6;23
8_R_3;8;R;3;1.2;6;20
8_R_3;8;R;3;1.3;6;19
8_R_3;8;R;3;2.1;6;1
8_R_3;8;R;3;2.2;6;29
8_R_3;8;R;3;2.3;6;5
8_R_3;8;R;3;3.1;6;45
8_R_3;8;R;3;3.2;6;25
8_R_3;8;R;3;3.3;6;43
16_NO_1;16;NO;1;1.1;7;27
16_NO_1;16;NO;1;1.2;7;16
16_NO_1;16;NO;1;1.3;7;28
16_NO_1;16;NO;1;2.1;7;27
16_NO_1;16;NO;1;2.2;7;24
16_NO_1;16;NO;1;2.3;7;37
16_NO_1;16;NO;1;3.1;7;58
16_NO_1;16;NO;1;3.2;7;51
16_NO_1;16;NO;1;3.3;7;32
16_NO_2;16;NO;2;1.1;7;22
16_NO_2;16;NO;2;1.2;7;15
16_NO_2;16;NO;2;1.3;7;31
16_NO_2;16;NO;2;2.1;7;27
16_NO_2;16;NO;2;2.2;7;15
